date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:30:29	691037/691037	---M--	200	added ('OK')	image/svg+xml	etag:%22b3a37fb-a8b5d-590bfbd802b00%22	http://gambolthemes.net/workwise-new/vendor/fontawesome-free/webfonts/fa-brands-400.svg	C:/Users/Murad/Desktop/Tmeplate/Template_Project/gambolthemes.net/workwise-new/vendor/fontawesome-free/webfonts/fa-brands-400.svg	(from http://gambolthemes.net/workwise-new/vendor/fontawesome-free/css/all.min.css)
01:30:31	129590/129590	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22b3a37fa-1fa36-590bfbd802b00%22	http://gambolthemes.net/workwise-new/vendor/fontawesome-free/webfonts/fa-brands-400.eot?	C:/Users/Murad/Desktop/Tmeplate/Template_Project/gambolthemes.net/workwise-new/vendor/fontawesome-free/webfonts/fa-brands-400d41d.eot	(from http://gambolthemes.net/workwise-new/vendor/fontawesome-free/css/all.min.css)
01:30:31	87520/87520	---M--	200	added ('OK')	font/woff	etag:%22b3a37fd-155e0-590bfbd802b00%22	http://gambolthemes.net/workwise-new/vendor/fontawesome-free/webfonts/fa-brands-400.woff	C:/Users/Murad/Desktop/Tmeplate/Template_Project/gambolthemes.net/workwise-new/vendor/fontawesome-free/webfonts/fa-brands-400.woff	(from http://gambolthemes.net/workwise-new/vendor/fontawesome-free/css/all.min.css)
01:30:34	13584/13584	---M--	200	added ('OK')	font/woff2	etag:%22b3a3803-3510-590bfbd802b00%22	http://gambolthemes.net/workwise-new/vendor/fontawesome-free/webfonts/fa-regular-400.woff2	C:/Users/Murad/Desktop/Tmeplate/Template_Project/gambolthemes.net/workwise-new/vendor/fontawesome-free/webfonts/fa-regular-400.woff2	(from http://gambolthemes.net/workwise-new/vendor/fontawesome-free/css/all.min.css)
01:30:37	34394/34394	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22b3a37ff-865a-590bfbd802b00%22	http://gambolthemes.net/workwise-new/vendor/fontawesome-free/webfonts/fa-regular-400.eot	C:/Users/Murad/Desktop/Tmeplate/Template_Project/gambolthemes.net/workwise-new/vendor/fontawesome-free/webfonts/fa-regular-400.eot	(from http://gambolthemes.net/workwise-new/vendor/fontawesome-free/css/all.min.css)
01:30:37	16804/16804	---M--	200	added ('OK')	font/woff	etag:%22b3a3802-41a4-590bfbd802b00%22	http://gambolthemes.net/workwise-new/vendor/fontawesome-free/webfonts/fa-regular-400.woff	C:/Users/Murad/Desktop/Tmeplate/Template_Project/gambolthemes.net/workwise-new/vendor/fontawesome-free/webfonts/fa-regular-400.woff	(from http://gambolthemes.net/workwise-new/vendor/fontawesome-free/css/all.min.css)
01:30:37	34394/34394	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22b3a37ff-865a-590bfbd802b00%22	http://gambolthemes.net/workwise-new/vendor/fontawesome-free/webfonts/fa-regular-400.eot?	C:/Users/Murad/Desktop/Tmeplate/Template_Project/gambolthemes.net/workwise-new/vendor/fontawesome-free/webfonts/fa-regular-400d41d.eot	(from http://gambolthemes.net/workwise-new/vendor/fontawesome-free/css/all.min.css)
01:30:39	144452/144452	---M--	200	added ('OK')	image/svg+xml	etag:%22b3a3800-23444-590bfbd802b00%22	http://gambolthemes.net/workwise-new/vendor/fontawesome-free/webfonts/fa-regular-400.svg	C:/Users/Murad/Desktop/Tmeplate/Template_Project/gambolthemes.net/workwise-new/vendor/fontawesome-free/webfonts/fa-regular-400.svg	(from http://gambolthemes.net/workwise-new/vendor/fontawesome-free/css/all.min.css)
01:30:42	129284/129284	---M--	200	added ('OK')	font/ttf	etag:%22b3a37fc-1f904-590bfbd802b00%22	http://gambolthemes.net/workwise-new/vendor/fontawesome-free/webfonts/fa-brands-400.ttf	C:/Users/Murad/Desktop/Tmeplate/Template_Project/gambolthemes.net/workwise-new/vendor/fontawesome-free/webfonts/fa-brands-400.ttf	(from http://gambolthemes.net/workwise-new/vendor/fontawesome-free/css/all.min.css)
01:30:43	34096/34096	---M--	200	added ('OK')	font/ttf	etag:%22b3a3801-8530-590bfbd802b00%22	http://gambolthemes.net/workwise-new/vendor/fontawesome-free/webfonts/fa-regular-400.ttf	C:/Users/Murad/Desktop/Tmeplate/Template_Project/gambolthemes.net/workwise-new/vendor/fontawesome-free/webfonts/fa-regular-400.ttf	(from http://gambolthemes.net/workwise-new/vendor/fontawesome-free/css/all.min.css)
01:30:55	75408/75408	---M--	200	added ('OK')	font/woff2	etag:%22b3a3808-12690-590bfbd802b00%22	http://gambolthemes.net/workwise-new/vendor/fontawesome-free/webfonts/fa-solid-900.woff2	C:/Users/Murad/Desktop/Tmeplate/Template_Project/gambolthemes.net/workwise-new/vendor/fontawesome-free/webfonts/fa-solid-900.woff2	(from http://gambolthemes.net/workwise-new/vendor/fontawesome-free/css/all.min.css)
01:30:59	98016/98016	---M--	200	added ('OK')	font/woff	etag:%22b3a3807-17ee0-590bfbd802b00%22	http://gambolthemes.net/workwise-new/vendor/fontawesome-free/webfonts/fa-solid-900.woff	C:/Users/Murad/Desktop/Tmeplate/Template_Project/gambolthemes.net/workwise-new/vendor/fontawesome-free/webfonts/fa-solid-900.woff	(from http://gambolthemes.net/workwise-new/vendor/fontawesome-free/css/all.min.css)
01:31:05	839389/839389	---M--	200	added ('OK')	image/svg+xml	etag:%22b3a3805-ccedd-590bfbd802b00%22	http://gambolthemes.net/workwise-new/vendor/fontawesome-free/webfonts/fa-solid-900.svg	C:/Users/Murad/Desktop/Tmeplate/Template_Project/gambolthemes.net/workwise-new/vendor/fontawesome-free/webfonts/fa-solid-900.svg	(from http://gambolthemes.net/workwise-new/vendor/fontawesome-free/css/all.min.css)
